thing_id, file_id, file, license, link
2853120,4829284,./4829284.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/bc/f6/60/f4/94/case113_bk9mm.stl
2853120,4829285,./4829285.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/d0/4d/e3/f8/ab/case113_bk7mm.stl
2853120,4844330,./4844330.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/05/92/9d/ee/87/case113_015_cnc.stl
2853120,4844331,./4844331.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/fe/4b/76/86/25/case113_015_bk7spi.stl
2853120,4887121,./4887121.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/b2/b0/ab/62/95/case113_btcn019_bkp.stl
2853120,4887118,./4887118.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/1a/14/8c/dc/68/case113_btcn019_prp.stl
2853120,4887119,./4887119.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/33/41/2f/35/b8/case113_btcn019_cnc.stl
2853120,4891964,./4891964.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/8e/40/98/4a/25/case113_btn02.stl
2853120,5320391,./5320391.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/d4/5e/09/33/b6/cart20180820_cfr.stl
2853120,5320390,./5320390.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/24/aa/26/0b/bf/cart20180820_cbk.stl
2853120,5320389,./5320389.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/49/90/05/2b/7c/cart20180820_bkp.stl
2853120,5320392,./5320392.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/fc/ae/ba/cb/50/cart20180820_cnc.stl
2853120,5320387,./5320387.stl,Creative Commons - Attribution - Share Alike,https://cdn.thingiverse.com/assets/57/fd/f6/7a/e9/cart20180820_bkp-m1p6x5.stl
3481032,6183977,./6183977.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/83/33/eb/3e/46/pin.stl
3481032,6183978,./6183978.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/71/ac/fa/7c/7d/pin_print.stl
3674575,6604858,./6604858.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/04/8d/64/44/60/stand.stl
3094768,5339169,./5339169.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/84/46/38/37/36/rc_holder_mavic.stl
1714358,2666780,./2666780.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/27/fd/39/e9/80/Epa_cover.stl
1714358,5450336,./5450336.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/d5/ca/01/fa/2e/Epa_cover_improved.stl
11942,38282,./38282.stl,Creative Commons - Attribution - Non-Commercial,https://cdn.thingiverse.com/assets/26/67/06/c9/f3/soportemultiusolentes_fixed.stl
26887,80155,./80155.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/e0/09/60/c1/ed/part1.stl
26887,80157,./80157.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/1c/f5/1f/11/64/part2.stl
1847004,2882901,./2882901.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/cf/28/79/11/75/filament_guide.stl
2565829,4170157,./4170157.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/66/c6/ea/3b/97/pogoblock.stl
2346043,3745784,./3745784.stl,Creative Commons - Attribution,https://cdn.thingiverse.com/assets/77/a3/c1/98/dd/cannon1.stl
